order,stop type,active,reference,name,lat,lng
1,visit,1,STO2,TFCO STOckel,50.8388599,4.46446
2,visit,1,AUDvid,TFCO AUD,50.82046,4.40897
3,visit,1,WGH,TFCO WGH,50.84471,4.41684
4,visit,1,JET,TFCO JETte,50.87324,4.32529
5,visit,1,KOR1,TFCO KOR,50.81933,3.26903
6,visit,1,GEL1,TFCO GENT,51.05074,3.72846
7,visit,1,AAL,TFCO AAL,50.93903,4.04039
1,visit,1,IXL,TFCO IXL,50.82027,4.37682
2,visit,1,UVO,TFCO UVO,50.7946,4.37342
3,visit,1,VDK,TFCO VDK,50.81422,4.35891
4,visit,1,TFCO SABLON,TFCO SABLON,50.84155,4.35337
5,visit,1,MCH,TFCO MA Malines,51.02265,4.47407
6,visit,1,DATSMAL1,Dats MALINES,51.0448129,4.477557
7,visit,1,BRA,TFCO ANV BRASSCHAT,51.28897,4.48895
8,visit,1,,TFCO ANV VOLK,51.21187,4.39655
1,visit,1,DATSOVE1,Dats Overijse,50.78348,4.5058
2,visit,1,OVE1,TFCO OVErijse,50.78654,4.50019
3,visit,1,WAV1,TFCO WAVRE,50.71678,4.61559
4,visit,1,LH1,TFCO LH Hulpe,50.73138,4.4809
5,visit,1,WOO,TFCO WOO Waterloo,50.7206199,4.39757
6,visit,1,DatsWater,Dats Waterloo,50.69076,4.32587
7,visit,1,,TFCO GERPINNES,50.34369,4.47261
8,visit,1,LGG,TFCO LIEGE,50.62798,5.56695
