order,stop type,active,reference,name
1,visit,1,WGH,TFCO WGH
2,visit,1,AUDvid,TFCO AUD
3,visit,1,SUMY15d,SUMY 25 MIN
4,visit,1,357715a,OCEAN MAREE
5,visit,1,AAL,TFCO AAL
6,visit,1,KOR1,TFCO KOR
7,visit,1,GEL1,TFCO GENT
8,visit,1,BRA,TFCO ANV BRASSCHAT
9,visit,1,,TFCO ANV VOLK
10,visit,1,Bia,BIA MARA ANVERS
11,visit,1,SUMY25c,SUMY 25 MIN
12,visit,1,OM2,OCEAN MAREE
13,visit,1,DATSGRIM1,DATS GRIMBERGEN
1,visit,1,357715c,OCEAN MAREE
2,visit,1,SUMY25d,SUMY 25 MIN
3,visit,1,FARM TONGRES1,FARM TONGRES
1,visit,1,FARM COOK2,FARM COOKING
2,visit,1,SUMY25a,SUMY 25 MIN
3,visit,1,FARMstc,FARM ST CATH
4,visit,1,SUMY25m,SUMY 25 MIN 3
5,visit,1,JET,TFCO JETte
6,visit,1,TFCO SABLON,TFCO SABLON
7,visit,1,IXL,TFCO IXL
8,visit,1,STO2,TFCO STOckel
9,visit,1,OVE1,TFCO OVErijse
10,visit,1,SUMY60b,SUMY 1H
11,visit,1,WAV1,TFCO WAVRE
12,visit,1,FARMlln,FARM LLN
13,visit,1,LH1,TFCO LH Hulpe
14,visit,1,Sumy25e,SUMY 25 MIN
15,visit,1,FARM FC-IXL1,FARM FC-IXL
1,visit,1,FARM HANKAR,FARM HANKAR
2,visit,1,SUMY60a,SUMY 1H
3,visit,1,LEU,TFCO LEUVEN
4,visit,1,LGG,TFCO LIEGE
5,visit,1,,TFCO GERPINNES
6,visit,1,DatsWater,Dats Waterloo
7,visit,1,WOO,TFCO WOO Waterloo
8,visit,1,UVO,TFCO UVO
9,visit,1,SUMY25b,SUMY 25 MIN
10,visit,1,VDK,TFCO VDK
11,visit,1,FARbs,FARM BASCULE
