reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,400,BIA MARA ANVERS,Maalderijstraat 1-5,,2000,ANTWERPEN,,51.22089,4.40053,,,OM,,0:05:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,108492,NH Hotel Arenberg,Rue d'assault 15,,1000,Bruxelles,,50.84848,4.35735,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,20,Dolma,21 rue de vergnies,,1050,Ixelles,,50.829,4.3712799,,,Ecodal,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,232081,NOORDZEE,Rue Sainte-Catherine 45,,1000,Bruxelles,,50.85028,4.34771,,,OM,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,IVECO1,IVECO EPPEGEM,brusselsesteenweg 185,,1980,eppegem,,50.9688299,4.45545,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,435833,Thyssen Jan/PWC,Boulevard de woluwe 18,,1932,Woluwe-saint-lambert,,50.83806,4.43453,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,459075,PHIL NV,Kabouterstraat 7,,1190,Forest,,50.79997,4.3155599,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,OM2,OCEAN MAREE,Quai de l'Industrie 214,,,,,50.83987,4.32004,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,BRG2,TFCO BRG Brugge,Smedenstraat 36,,8000,Brugge,,51.20564,3.21504,Fermé lundi et mardi + Livraison entre 19h et 6h,,TFCO,,0:15:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,SUMY60b,SUMY 1h00,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911077,4.403484,,,Sumy,,1:00:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,OM5,OCEAN MAREE (sales),Quai de l'Industrie 214,,1070,Anderlecht,,50.83987,4.32004,"Pendant la livraison de nuit ,utiliser la clé pour ouvrier ( volet 3 )",,OM,,0:15:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,SODSWIFT,Sodexo SWIFT,Avenue adele 1,,1310,La Hulpe,,50.73463,4.47902,,,Nos Pilifs,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,LINDD,LINDD,Kleemstraat 69,,9041,Oostakker,,51.09705,3.75923,"Code grille : 1215
Code Porte Magasin : 1976",,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,SUMY15d,SUMY 25 MIN,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911067,4.403506,,,Sumy,,0:25:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,885805,RSCA tribune 4,Avenue théo vanbeeck 2,,1070,Anderlecht,,50.83496,4.29849,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,SUMY60f,SUMY 25min,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911111,4.403479,,,Sumy,,0:25:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,5006225,Pillows Grand Hotel,Place Roupe 17,,1000,Bruxelles,,50.84243,4.3463,Avant 10h30,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,Sumy2h,SUMY 2H,Avenue de béjar 1,,1120,neder over hembeek,,50.911141,4.405019,,,,,2:00:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,SUMY25m,SUMY 25 min,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.910867,4.403383,,,Sumy,,0:25:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,eFarmz,eFarmz,Rue Henri-Jospeh Genesse 34,,1070,Bruxelles,,50.82112,4.31197,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,357715c,OCEAN MAREE,Quai de l' Industrie 214,,1070,Anderlecht,,50.83987,4.32004,,,,,0:30:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,SUMY15b,SUMY 15 MIN,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.91108,4.403479,,,Sumy,,0:15:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,5007701,DXC Malines,Blarenberglaan 2,,2800,Malines,,51.0537599,4.44797,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,504263b,OTAN/ NATO  PROMARITIMES,Avenue du Bourget,,1130,Bruxelles,,50.877383,4.429926,livraison avant 9h30,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,Sumy3H,SUMY 3H,avenue de béjar 1,,1120,neder over hembeek,,50.911073,4.405126,,,,,3:00:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,Sumy1hE,SUMY 1h,Avenue de béjar 1,,1120,neder over hembeek,,50.911107,4.405072,,,,,1:00:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,MCH,TFCO MA Malines,hoogstraat 66,,2800,malines,,51.02265,4.47407,Fermé lundi et mardi  livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,Adria,ADRIA KOMBI,Tivolska cesta 50,,1000,Ljubljana,slovenia,46.05742,14.50523,,,SELIS,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSAND2,Dats Anderlecht,Chaussée de Mons 875,,1070,Anderlecht,,50.828313,4.302198,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,SUMY15,SUMY 15 MIN,Avenue De Béjar 1EA,,,,,50.91109,4.403468,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSMAL1,Dats MALINES,Liersesteenweg 351,,2800,Mechelen,,51.0448129,4.477557,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,SUMY60e,SUMY 1h00,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.910894,4.403393,,,Sumy,,1:00:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSGOS1,DATS GOSSELIES,,,6041,gosselies,,50.4686,4.43143,,,,,,,,,,,,,
